trade_date,day_index,strategy_nav,benchmark_nav,position,target_position,traded_notional,strategy_nav_norm,benchmark_nav_norm,excess_nav,drawdown,strategy_daily_return,benchmark_daily_return,daily_excess_return,turnover_ratio
2024-06-20,595,114174.24524999996,108468.58876750339,0.32685129573913263,0.46001777052879333,32618.0,0.5623916563844897,0.5423429438375169,0.03696685422900847,-0.4397359710769262,-0.010401616673383796,-0.014422624243526028,0.004021007570142232,0.28271454737159807
2024-06-21,596,112703.02124999995,108048.65238900621,0.2799481296070403,0.46002286672592163,32185.0,0.5551448022409751,0.540243261945031,0.027583019253760277,-0.4469554090848892,-0.012885778196112252,-0.0038715021857368415,-0.00901427601037541,0.2818936961617446
2024-06-24,597,111524.63624999994,106549.53803798521,0.29451788505609244,0.459833025932312,33323.0,0.549340394333066,0.5327476901899261,0.031145520569454854,-0.45273785788739196,-0.01045566469230752,-0.013874438207926443,0.0034187735156189225,0.295670866942265
2024-06-25,598,110196.63624999994,104611.79899198776,0.2860159898937026,0.4592400938272476,0.0,0.5427990231329038,0.5230589949599388,0.037739582653534054,-0.45925448191920126,-0.011907682864107927,-0.018186273555748755,0.0062785906916408285,0.0
2024-06-26,599,112535.45024999994,106495.8175892318,0.299692229649208,0.45822766423225403,17530.0,0.5543193925170424,0.532479087946159,0.04101626723994811,-0.44777769613732465,0.021224005374302024,0.01800961856499894,0.0032143868093030825,0.15907926590635846
2024-06-27,600,112081.39824999994,104807.23558447449,0.3254152836195548,0.458432599902153,14463.0,0.5520828543572713,0.5240361779223724,0.05352049651627966,-0.45000577307624867,-0.004034746375398246,-0.01585585277414736,0.011821106398749115,0.12851950179139224
2024-06-28,601,112342.17174999994,103590.62433560943,0.3172539701236461,0.4585456848144531,34589.0,0.5533673545550616,0.5179531216780472,0.06837343264247653,-0.44872613237070724,0.0023266438862434846,-0.011608084518978323,0.013934728405221808,0.30860607148073316
2024-07-01,602,112808.01174999993,103545.19886565549,0.3142507296251502,0.4586400091648102,17320.0,0.5556619572356968,0.5177259943282775,0.0732742093752492,-0.44644021057930816,0.0041466173632165315,-0.00043850947173340593,0.0045851268349499374,0.15417184597911257
2024-07-02,603,112052.65274999994,102458.69202091344,0.30063545282733184,0.45866771042346954,32128.0,0.5519412617474564,0.5122934601045672,0.07739275382277255,-0.4501468300160878,-0.006695969446514072,-0.010493068308765618,0.0037970988622515467,0.28480246661204023
2024-07-03,604,111405.81974999994,102156.49142088126,0.29824294704316845,0.45857255160808563,17165.0,0.5487551361770389,0.5107824571044063,0.07434217550833155,-0.45332090190793073,-0.005772580872700495,-0.002949487194024547,-0.0028230936786759475,0.15318691328349662
2024-07-04,605,111161.80324999995,101362.41950009215,0.31353395663811356,0.48408253490924835,36630.0,0.5475531764590688,0.5068120975004607,0.08038695042904132,-0.4545183143989381,-0.0021903388938527835,-0.007773093121586916,0.0055827542277341324,0.32879790375583157
2024-07-05,606,112135.43824999995,101877.72352060313,0.3189714202592865,0.48377902805805206,56443.0,0.5523490408780973,0.5093886176030157,0.08433722660949239,-0.4497405935862795,0.008758719016192185,0.005083777824685054,0.0036749411915071306,0.5077553471587825
2024-07-08,607,111507.06274999995,100226.38277081212,0.23115127745574135,0.4834493398666382,28033.0,0.5492538319936188,0.5011319138540606,0.09602644894328605,-0.4528240927461441,-0.005603719125786721,-0.016209046420801232,0.01060532729501451,0.24999233460435522
2024-07-09,608,112759.68524999995,101663.77091090004,0.25041751347031194,0.48314349353313446,19565.0,0.5554239138807988,0.5083188545545002,0.09266832993551333,-0.44667735337394154,0.01123357094257238,0.014341414908435768,-0.0031078439658633883,0.17545973786310687
2024-07-10,609,113576.68524999995,101601.78009752755,0.25580954344677015,0.4831336736679077,0.0,0.5594482363736697,0.5080089004876377,0.10125676112496329,-0.4426682556073841,0.007245497344096297,-0.0006097630730894643,0.007855260417185761,0.0
2024-07-11,610,113899.33124999996,103694.47156277584,0.24626132297857553,0.483372300863266,21354.0,0.5610375038828923,0.5184723578138792,0.08209723320349727,-0.44108500057924616,0.0028407766901261677,0.02059699606876486,-0.017756219378638693,0.18801393924286947
2024-07-12,611,113203.39724999995,103602.83912263984,0.24868511620573305,0.48400406539440155,20170.0,0.557609519978665,0.5180141956131992,0.07643675540318906,-0.4445000158118917,-0.0061100797727468015,-0.000883677198552757,-0.0052264025741940445,0.17708620216328097
2024-07-15,612,111842.88324999996,102949.25263656331,0.3099258441193666,0.4848773628473282,27298.0,0.550907993550188,0.5147462631828166,0.07025156461316229,-0.45117618917635927,-0.01201831422952282,-0.006308576981204572,-0.005709737248318247,0.2411411729960252
2024-07-16,613,112608.91924999995,104384.7947131202,0.3195306396655611,0.4856521040201187,20128.0,0.55468128107179,0.5219239735656009,0.06276260368421616,-0.4474171766712154,0.006849215414875154,0.013944171907927405,-0.007094956493052251,0.17996674813012753
2024-07-17,614,110807.36424999994,104391.86513644409,0.39267245723697486,0.4863239675760269,30505.0,0.545807305173817,0.5219593256822205,0.0456893445871982,-0.4562575807432232,-0.015998333098290574,6.7734226458116e-05,-0.01606606732474869,0.2708932845033056
2024-07-18,615,110864.81624999995,105700.0042151784,0.4310204230370519,0.4876035302877426,22126.0,0.5460902982899253,0.528500021075892,0.033283399266898606,-0.45597565824030484,0.0005184853948008161,0.012531044224801668,-0.012012558830000852,0.19967986920147332
2024-07-19,616,110285.22674999994,106178.64541396282,0.43196175411590226,0.4893037974834442,19589.0,0.5432353961338888,0.5308932270698141,0.023247930911071357,-0.4588197597947359,-0.005227893930686123,0.004528298767235928,-0.00975619269792205,0.17669266646170995
2024-07-22,617,110107.05074999997,106081.83168884968,0.43817357445658417,0.4910625219345093,20488.0,0.5423577490292503,0.5304091584442484,0.022527119667481665,-0.4596940866045939,-0.0016155926342145133,-0.0009118003411673348,-0.0007037922930471785,0.18577284196407576
2024-07-23,618,108955.05074999997,102853.0111911448,0.4322332895613838,0.49284619092941284,0.0,0.5366833065423626,0.514265055955724,0.043592793885199654,-0.4653470616683322,-0.010462545242589716,-0.030437073401743064,0.01997452815915335,0.0
2024-07-24,619,109280.62374999997,101589.3560899636,0.43323325192861567,0.4926491230726242,20534.0,0.5382869916671746,0.507946780449818,0.05973108283211981,-0.4637494435690036,0.002988140501600345,-0.012286029223128825,0.01527416972472917,0.18846303919508758
2024-07-25,620,106811.22724999995,101192.20013543952,0.42819468680901257,0.49157968163490295,38133.0,0.5261234079722339,0.5059610006771976,0.039849726101518046,-0.4758670102677731,-0.02259683752948949,-0.003909424863096755,-0.018687412666392733,0.3489456656766201
2024-07-26,621,108434.00724999995,102120.14858350006,0.43954845171508705,0.49056220054626465,17720.0,0.5341167862525044,0.5106007429175003,0.04605563869851936,-0.4679038723563729,0.015192972141418792,0.009170157846341453,0.006022814295077339,0.16590016289696743
2024-07-29,622,109960.19124999995,100651.98656434962,0.4127039020587373,0.49067601561546326,3815.9999999999995,0.5416343585896641,0.5032599328217481,0.07625170069223075,-0.4604147403297443,0.014074772653945189,-0.014376810448429644,0.028451583102374833,0.035191911622356846
2024-07-30,623,108770.94124999995,100361.30540075117,0.3855441491823996,0.4905342757701874,18240.0,0.5357764326109045,0.5018065270037558,0.06769522471136447,-0.46625050473473617,-0.010815277660768952,-0.0028879823788933168,-0.007927295281875635,0.16587821276638612
2024-07-31,624,109131.72124999996,103880.57322734057,0.41433415951001523,0.4903484284877777,30586.0,0.5375535379584908,0.5194028661367028,0.03494526696934108,-0.46448012249211845,0.003316878532574119,0.03506598297557684,-0.03174910444300272,0.2811964266237332
2024-08-01,625,108715.00674999996,102516.39381334883,0.4351929086367832,0.49097368121147156,57764.0,0.5355009142920827,0.5125819690667441,0.044712741782679144,-0.46652498071885296,-0.0038184543891265355,-0.01313218989470022,0.009313735505573684,0.5293053141503532
2024-08-02,626,107219.64574999997,100813.79403284578,0.42065052243469114,0.4912663400173187,57552.0,0.5281351677715663,0.5040689701642289,0.047743858542803164,-0.4738628613128517,-0.01375487197861014,-0.01660807327658209,0.0028532012979719523,0.529384136748904
2024-08-05,627,103660.92274999995,98905.21663709373,0.4086303582513693,0.49063722789287567,34554.0,0.5106058544119618,0.49452608318546865,0.032515516922618115,-0.491325858168539,-0.033190960248999035,-0.018931708840659422,-0.014259251408339613,0.32227302896120613
2024-08-06,628,105213.65974999996,100140.04853301022,0.40152581043546504,0.4897199720144272,17121.0,0.5182542196930057,0.5007002426650511,0.035058854644289594,-0.483706428010949,0.0149790003678123,0.012485002691489777,0.0024939976763225236,0.16516349214149753
2024-08-07,629,106111.31974999997,99707.8296784865,0.4239415748101655,0.48949645459651947,50378.0,0.5226758516745852,0.49853914839243246,0.048414860417647976,-0.47930152384800173,0.008531781920075199,-0.004316143849094067,0.012847925769169266,0.47881615485768725
2024-08-08,630,104952.69474999997,99164.90239400596,0.45111752597472027,0.4895954579114914,39322.0,0.5169687762176666,0.4958245119700298,0.042644652971321584,-0.48498700842545284,-0.010918957588405664,-0.005445182050709985,-0.00547377553769568,0.37057309335745975
2024-08-09,631,103202.66674999995,98188.5440066163,0.45305999808381914,0.48954392969608307,37740.0,0.5083486084776986,0.4909427200330815,0.03545401069078746,-0.49357456454076865,-0.01667444560779152,-0.009845805963791032,-0.006828639644000489,0.35959057640108866
2024-08-12,632,102532.89674999996,97988.70762938059,0.44881205406888125,0.4892699122428894,19662.0,0.5050495014078699,0.48994353814690295,0.030832049174690068,-0.49686119050295596,-0.006489851678178504,-0.0020352310878777313,-0.004454620590300773,0.19051833270577778
2024-08-13,633,102130.85674999995,98898.88463918227,0.4504025665093622,0.4893903136253357,18840.0,0.5030691603857966,0.49449442319591136,0.017340412323493704,-0.4988340395434294,-0.003921083015729909,0.009288590816446174,-0.013209673832176083,0.1837459059206772
2024-08-14,634,102900.41624999995,97492.33806715302,0.4550224547804006,0.4894505739212036,39255.0,0.5068598037217238,0.4874616903357651,0.039794128996264666,-0.4950577368840866,0.007535034214818825,-0.014222067085597923,0.021757101300416748,0.3843598423548916
2024-08-15,635,103126.52274999995,98008.13437127229,0.46163681980637733,0.48896750807762146,37360.0,0.5079735435916556,0.49004067185636146,0.03659465992355537,-0.4939482104897732,0.002197333191059858,0.005290634262602234,-0.003093301071542376,0.3630694739779541
2024-08-16,636,101850.32574999993,97931.27043938465,0.44228626337996796,0.48851118981838226,35819.0,0.5016873400513442,0.4896563521969233,0.02457026810832108,-0.5002106322062816,-0.012375060905464474,-0.0007842607389756395,-0.011590800166488835,0.34733062887064153
2024-08-19,637,101790.86174999994,97797.50467592508,0.4299207143710032,0.48826180398464203,53520.0,0.5013944363638093,0.4889875233796254,0.02537265756482654,-0.5005024277871757,-0.0005838371115861607,-0.0013659147161004803,0.0007820776045143196,0.5254769644170729
2024-08-20,638,102669.64774999995,96485.6673165836,0.4517303898123097,0.4881148189306259,20853.0,0.5057231000923528,0.482428336582918,0.048286474369299226,-0.49619014016186125,0.00863325042043872,-0.01341381217944737,0.02204706259988609,0.20486121879206914
